PROBEID,GENENAME,SYMBOL
1368291_at,baculoviral IAP repeat-containing 2,Birc2
1369415_at,"basic helix-loop-helix family, member e40",Bhlhe40
1369577_at,suppressor of cytokine signaling 2,Socs2
1370823_at,BMP and activin membrane-bound inhibitor,Bambi
1371034_at,one cut homeobox 1,Onecut1
1371249_at,X-box binding protein 1,Xbp1
1386945_a_at,protein kinase AMP-activated non-catalytic subunit beta 1,Prkab1
1387760_a_at,one cut homeobox 1,Onecut1
1395255_at,one cut homeobox 1,Onecut1
