PROBEID,GENENAME,SYMBOL
1368725_at,jagged canonical Notch ligand 1,Jag1
1372000_at,neuroepithelial cell transforming 1,Net1
1375533_at,vestigial-like family member 4,Vgll4
1377064_at,dual specificity phosphatase 6,Dusp6
1381973_at,"solute carrier family 25, member 30",Slc25a30
1382778_at,dual specificity phosphatase 6,Dusp6
1387024_at,dual specificity phosphatase 6,Dusp6
1390184_at,vestigial-like family member 4,Vgll4
1390416_at,"solute carrier family 25, member 30",Slc25a30
1390436_at,vestigial-like family member 4,Vgll4
