PROBEID,GENENAME,SYMBOL
1367647_at,serpin family A member 1,Serpina1
1367689_a_at,CD36 molecule,Cd36
1368288_at,"GC, vitamin D binding protein",Gc
1368289_at,"GC, vitamin D binding protein",Gc
1371089_at,glutathione S-transferase alpha 3,Gsta3
1384734_at,neural cell adhesion molecule 2,Ncam2
1386901_at,CD36 molecule,Cd36
1387022_at,"aldehyde dehydrogenase 1 family, member A1",Aldh1a1
