PROBEID,GENENAME,SYMBOL
1367555_at,albumin,Alb
1367556_s_at,albumin,Alb
1370065_at,hemopexin,Hpx
1370445_at,phospholipase A1 member A,Pla1a
1387011_at,lipocalin 2,Lcn2
1389420_at,signal transducing adaptor family member 2,Stap2
