PROBEID,GENENAME,SYMBOL
1367814_at,ATPase Na+/K+ transporting subunit beta 1,Atp1b1
1368266_at,arginase 1,Arg1
1368272_at,glutamic-oxaloacetic transaminase 1,Got1
1368304_at,flavin containing dimethylaniline monoxygenase 3,Fmo3
1368720_at,"tryptophan 2,3-dioxygenase",Tdo2
1369864_a_at,serine dehydratase,Sds
1372533_at,ER degradation enhancing alpha-mannosidase like protein 1,Edem1
1375140_at,muscleblind-like splicing regulator 2,Mbnl2
1375675_at,muscleblind-like splicing regulator 2,Mbnl2
1384186_at,ER degradation enhancing alpha-mannosidase like protein 1,Edem1
1386937_at,ATPase Na+/K+ transporting subunit beta 1,Atp1b1
1389301_at,muscleblind-like splicing regulator 2,Mbnl2
1394931_at,muscleblind-like splicing regulator 2,Mbnl2
1395248_at,ER degradation enhancing alpha-mannosidase like protein 1,Edem1
