PROBEID,GENENAME,SYMBOL
1367741_at,homocysteine inducible ER protein with ubiquitin like domain 1,Herpud1
1367982_at,5'-aminolevulinate synthase 1,Alas1
1368877_at,zinc finger protein 354A,Zfp354a
1370336_at,oxidative stress induced growth inhibitor 1,Osgin1
1383315_at,"tsukushi, small leucine rich proteoglycan",Tsku
