PROBEID,GENENAME,SYMBOL
1369202_at,MX dynamin like GTPase 2,Mx2
1370913_at,radical S-adenosyl methionine domain containing 2,Rsad2
1371015_at,MX dynamin like GTPase 1,Mx1
1373037_at,ubiquitin-conjugating enzyme E2L 6,Ube2l6
1376908_at,interferon-induced protein with tetratricopeptide repeats 3,Ifit3
1377497_at,2'-5'-oligoadenylate synthetase-like,Oasl
1379285_at,receptor (chemosensory) transporter protein 4,Rtp4
1379568_at,interferon-induced protein with tetratricopeptide repeats 2,Ifit2
1382314_at,ISG15 ubiquitin-like modifier,Isg15
1383424_at,cytidine/uridine monophosphate kinase 2,Cmpk2
1383564_at,interferon regulatory factor 7,Irf7
1384180_at,interferon-induced protein with tetratricopeptide repeats 2,Ifit2
1387242_at,eukaryotic translation initiation factor 2-alpha kinase 2,Eif2ak2
1387283_at,MX dynamin like GTPase 2,Mx2
1389034_at,ubiquitin specific peptidase 18,Usp18
1393044_at,cytidine/uridine monophosphate kinase 2,Cmpk2
