PROBEID,GENENAME,SYMBOL
1368308_at,"MYC proto-oncogene, bHLH transcription factor",Myc
1368947_at,"growth arrest and DNA-damage-inducible, alpha",Gadd45a
1371019_at,tribbles pseudokinase 1,Trib1
1372389_at,immediate early response 2,Ier2
1388792_at,"growth arrest and DNA-damage-inducible, gamma",Gadd45g
1389987_at,tribbles pseudokinase 1,Trib1
1392848_at,tribbles pseudokinase 1,Trib1
