PROBEID,GENENAME,SYMBOL
1367707_at,fatty acid synthase,Fasn
1367708_a_at,fatty acid synthase,Fasn
1367854_at,ATP citrate lyase,Acly
1368079_at,pyruvate dehydrogenase kinase 1,Pdk1
1368460_at,solute carrier family 2 member 5,Slc2a5
1368651_at,pyruvate kinase L/R,Pklr
1368674_at,glycogen phosphorylase L,Pygl
1370150_a_at,thyroid hormone responsive,Thrsp
1370355_at,stearoyl-CoA desaturase,Scd
1370893_at,acetyl-CoA carboxylase alpha,Acaca
1371400_at,thyroid hormone responsive,Thrsp
1387263_at,pyruvate kinase L/R,Pklr
1387375_at,ketohexokinase,Khk
1387538_at,acetyl-CoA carboxylase alpha,Acaca
1387852_at,thyroid hormone responsive,Thrsp
1389075_at,pyruvate dehydrogenase kinase 1,Pdk1
1389265_at,"1,4-alpha-glucan branching enzyme 1",Gbe1
1390203_at,pyruvate dehydrogenase kinase 1,Pdk1
