PROBEID,GENENAME,SYMBOL
1368731_at,orosomucoid 1,Orm1
1369255_at,interleukin 1 receptor type 1,Il1r1
1370224_at,signal transducer and activator of transcription 3,Stat3
1370750_a_at,interleukin 1 receptor type 1,Il1r1
1371781_at,signal transducer and activator of transcription 3,Stat3
1387316_at,C-X-C motif chemokine ligand 1,Cxcl1
1387788_at,"JunB proto-oncogene, AP-1 transcription factor subunit",Junb
1392946_at,interleukin 1 receptor type 1,Il1r1
