PROBEID,GENENAME,SYMBOL
1367624_at,activating transcription factor 4,Atf4
1368391_at,solute carrier family 7 member 1,Slc7a1
1368392_at,solute carrier family 7 member 1,Slc7a1
1370694_at,tribbles pseudokinase 3,Trib3
1370695_s_at,tribbles pseudokinase 3,Trib3
1372808_at,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",Mthfd2
1378133_at,solute carrier family 7 member 11,Slc7a11
1386321_s_at,tribbles pseudokinase 3,Trib3
1387167_at,solute carrier family 7 member 1,Slc7a1
1387643_at,fibroblast growth factor 21,Fgf21
1389573_at,ChaC glutathione-specific gamma-glutamylcyclotransferase 1,Chac1
