PROBEID,GENENAME,SYMBOL
1370787_at,Bcl2-like 11,Bcl2l11
1372524_at,lipin 1,Lpin1
1374425_at,"TLE family member 1, transcriptional corepressor",Tle1
1377599_at,lipin 1,Lpin1
1378739_at,cell death-inducing DFFA-like effector c,Cidec
1381298_at,minichromosome maintenance 10 replication initiation factor,Mcm10
1387294_at,SH3-domain binding protein 5,Sh3bp5
1387338_s_at,Bcl2-like 11,Bcl2l11
1388742_at,Bcl2-like 11,Bcl2l11
1392061_at,minichromosome maintenance 10 replication initiation factor,Mcm10
