PROBEID,GENENAME,SYMBOL
1367671_at,proliferating cell nuclear antigen,Pcna
1367983_at,flap structure-specific endonuclease 1,Fen1
1368522_at,timeless circadian regulator,Timeless
1370910_at,replication factor C subunit 2,Rfc2
1371074_a_at,minichromosome maintenance complex component 6,Mcm6
1371150_at,cyclin D1,Ccnd1
1371643_at,cyclin D1,Ccnd1
1372406_at,minichromosome maintenance complex component 3,Mcm3
1373350_at,PC4 and SRSF1 interacting protein 1,Psip1
1373557_at,minichromosome maintenance complex component 4,Mcm4
1373772_at,DNA methyltransferase 1,Dnmt1
1374036_at,minichromosome maintenance complex component 2,Mcm2
1374359_at,cyclin E2,Ccne2
1374805_at,DNA replication and sister chromatid cohesion 1,Dscc1
1376055_at,minichromosome maintenance complex component 5,Mcm5
1376231_at,GINS complex subunit 1,Gins1
1376316_at,"origin recognition complex, subunit 6",Orc6
1376317_at,"origin recognition complex, subunit 6",Orc6
1376611_at,"DNA polymerase alpha 1, catalytic subunit",Pola1
1377633_a_at,checkpoint kinase 1,Chek1
1377967_at,chromatin licensing and DNA replication factor 1,Cdt1
1378056_at,"geminin, DNA replication inhibitor",Gmnn
1378072_at,"ATPase family, AAA domain containing 5",Atad5
1378507_at,denticleless E3 ubiquitin protein ligase homolog,Dtl
1378874_at,cyclin dependent kinase 2,Cdk2
1379234_a_at,cell division cycle 45,Cdc45
1379235_x_at,cell division cycle 45,Cdc45
1379967_at,zinc finger protein 367,Zfp367
1381933_at,replication factor C subunit 5,Rfc5
1381958_at,DNA topoisomerase II binding protein 1,Topbp1
1382511_at,E2F transcription factor 1,E2f1
1383075_at,cyclin D1,Ccnd1
1383502_at,DNA topoisomerase II binding protein 1,Topbp1
1384108_at,cell division cycle 45,Cdc45
1384338_at,cell division cycle 45,Cdc45
1384701_at,"ATPase family, AAA domain containing 5",Atad5
1385522_at,"origin recognition complex, subunit 1",Orc1
1387062_a_at,checkpoint kinase 1,Chek1
1388135_at,replication protein A2,Rpa2
1390823_at,S-phase kinase associated protein 2,Skp2
1391681_at,cyclin E2,Ccne2
1392128_at,"ATPase family, AAA domain containing 5",Atad5
1392589_at,replication factor C subunit 5,Rfc5
1392700_at,"geminin, DNA replication inhibitor",Gmnn
1393267_at,PC4 and SRSF1 interacting protein 1,Psip1
1393614_at,E2F transcription factor 1,E2f1
1393647_at,histone acetyltransferase 1,Hat1
1393982_at,"DNA polymerase epsilon 2, accessory subunit",Pole2
1394320_at,cyclin dependent kinase 2,Cdk2
1395165_at,PC4 and SRSF1 interacting protein 1,Psip1
1395296_at,checkpoint kinase 1,Chek1
1398439_a_at,"origin recognition complex, subunit 6",Orc6
1398599_at,checkpoint kinase 1,Chek1
