PROBEID,GENENAME,SYMBOL
1367632_at,glutamate-ammonia ligase,Glul
1367633_at,glutamate-ammonia ligase,Glul
1368121_at,aldo-keto reductase family 7 member A3,Akr7a3
1369061_at,glutathione-disulfide reductase,Gsr
1370580_a_at,"cytochrome P450, family 2, subfamily C, polypeptide 6, variant 1",Cyp2c6v1
1370698_at,"UDP glucuronosyltransferase 2 family, polypeptide B1",Ugt2b1
1376051_at,"crystallin, lambda 1",Cryl1
1386870_at,glutamate-ammonia ligase,Glul
1386891_at,phosphatidylethanolamine binding protein 1,Pebp1
1387599_a_at,NAD(P)H quinone dehydrogenase 1,Nqo1
1387669_a_at,epoxide hydrolase 1,Ephx1
1390591_at,solute carrier family 17 member 3,Slc17a3
